Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,
,,,,,,,,,,,Definition,
1,timetable,SC 202,Signals and Feedback Systems,A - Nataraj P.S.V.,  ,5, M,, 25,,,
,,,,I - Bandyopadhyay B.,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
2,timetable,SC 602,Control of Nonlinear Dynamical Systems,I - Sukumar Srikant,  ,14,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
3,timetable,SC 602,Control of Nonlinear Dynamical Systems,I - Sukumar Srikant,  ,14, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,
4,timetable,SC 607,Optimization,I - Ankur Kulkarni,  ,10,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
5,timetable,SC 607,Optimization,I - Ankur Kulkarni,  ,10, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,
6,timetable,SC 626,Systems and Control Engineering Laboratory,A - Leena Vachhani,  ,LX,,, 0,,,
,,,,I - Arpita Sinha,,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-LX-14:00:00-16:55:00,,,,,,
7,timetable,SC 630,Variable Structure and Sliding Mode Control,I - Bandyopadhyay B.,  ,13,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
8,timetable,SC 630,Variable Structure and Sliding Mode Control,I - Bandyopadhyay B.,  ,13, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,
9,timetable,SC 635,Advanced Topics in Mobile Robotics,A - Leena Vachhani,  ,6,,, 0,,,
,,,,I - Arpita Sinha,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
10,timetable,SC 635,Advanced Topics in Mobile Robotics,A - Leena Vachhani,  ,6, M,, 0,,,
,,,,I - Arpita Sinha,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
11,timetable,SC 638,Quantum Control,I - Navin Khaneja,  ,5,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
12,timetable,SC 638,Quantum Control,I - Navin Khaneja,  ,5, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,
13,timetable,SC 640,Applied Predictive Analytics,I - Nataraj P.S.V.,  ,6,,, 20,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
14,timetable,SC 647,Topological Methods in Control and Data Science,I - Debasish Chatterjee,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
15,timetable,SC 647,Topological Methods in Control and Data Science,I - Debasish Chatterjee,  ,6, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
16,timetable,SC 702,Linear Systems Theory for PDEs,I - Vivek Natarajan,  ,6,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
17,timetable,SC 702,Linear Systems Theory for PDEs,I - Vivek Natarajan,  ,6, M,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,
18,timetable,SC 792,Communication Skills -II,I - Vivek Natarajan,  ,X,,, 0,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,
,,,,,,Wed-XD-19:00:00-20:25:00,,,,,,
